Job Name;trace name;XSA number;depth;unwind;directpaths;fullslice;FP;statusReason;start time;stop time;got file;trace status;cbmc start time;cbmc end time;locs;start slice;end slice;end;CBMC time;slice time;check cbmc time
paper_run_2120000;PAPERRUNxsa212.depth0-unwind0-dp0-fs0-fp1.trace;212;0;0;0;0;1;Essential container in task exited;1,53752E+12;1,53752E+12;0;found trace;458.304.314;471.274.230;1272;1537519868;1537520240;1537520261;12.970;372;21
paper_run_2121000;PAPERRUNxsa212.depth1-unwind0-dp0-fs0-fp1.trace;212;1;0;0;0;1;Essential container in task exited;1,53744E+12;1,53744E+12;0;unknown error;unknown;unknown;2113;1537519874;1537520305;0;#VALUE!;431;-1537520305
paper_run_2121000;PAPERRUNxsa212.depth1-unwind0-dp0-fs0-fp1.trace;212;1;0;0;0;1;Essential container in task exited;1,53746E+12;1,53746E+12;0;unknown error;unknown;unknown;2113;1537519874;1537520305;0;#VALUE!;431;-1537520305
paper_run_2120010;PAPERRUNxsa212.depth0-unwind0-dp1-fs0-fp1.trace;212;0;0;1;0;1;Essential container in task exited;1,53744E+12;1,53744E+12;0;unknown error;unknown;unknown;53161;1537519875;1537520323;0;#VALUE!;448;-1537520323
paper_run_2120010;PAPERRUNxsa212.depth0-unwind0-dp1-fs0-fp1.trace;212;0;0;1;0;1;Essential container in task exited;1,53746E+12;1,53746E+12;0;unknown error;unknown;unknown;53161;1537519875;1537520323;0;#VALUE!;448;-1537520323
paper_run_2130000;PAPERRUNxsa213.depth0-unwind0-dp0-fs0-fp1.trace;213;0;0;0;0;1;Essential container in task exited;1,53744E+12;1,53744E+12;0;found trace;459.858.833;473.023.948;1270;1537519844;1537520242;1537520264;13.165;398;22
paper_run_2130000;PAPERRUNxsa213.depth0-unwind0-dp0-fs0-fp1.trace;213;0;0;0;0;1;Essential container in task exited;1,53746E+12;1,53746E+12;0;found trace;459.858.833;473.023.948;1270;1537519844;1537520242;1537520264;13.165;398;22
paper_run_2130000;PAPERRUNxsa213.depth0-unwind0-dp0-fs0-fp1.trace;213;0;0;0;0;1;Essential container in task exited;1,53752E+12;1,53752E+12;0;found trace;459.858.833;473.023.948;1270;1537519844;1537520242;1537520264;13.165;398;22
paper_run_2131200;PAPERRUNxsa213.depth1-unwind2-dp0-fs0-fp1.trace;213;1;2;0;0;1;Essential container in task exited;1,53744E+12;1,53744E+12;0;unknown error;unknown;unknown;1846;1537519847;1537520232;0;#VALUE!;385;-1537520232
paper_run_2131200;PAPERRUNxsa213.depth1-unwind2-dp0-fs0-fp1.trace;213;1;2;0;0;1;Essential container in task exited;1,53746E+12;1,53746E+12;0;unknown error;unknown;unknown;1846;1537519847;1537520232;0;#VALUE!;385;-1537520232
paper_run_2130010;PAPERRUNxsa213.depth0-unwind0-dp1-fs0-fp1.trace;213;0;0;1;0;1;Essential container in task exited;1,53744E+12;1,53744E+12;0;found trace;491.972.310;504.722.992;1270;1537519847;1537520260;1537520281;12.751;413;21
paper_run_2130010;PAPERRUNxsa213.depth0-unwind0-dp1-fs0-fp1.trace;213;0;0;1;0;1;Essential container in task exited;1,53746E+12;1,53746E+12;0;found trace;491.972.310;504.722.992;1270;1537519847;1537520260;1537520281;12.751;413;21
paper_run_2130010;PAPERRUNxsa213.depth0-unwind0-dp1-fs0-fp1.trace;213;0;0;1;0;1;Essential container in task exited;1,53752E+12;1,53752E+12;0;found trace;491.972.310;504.722.992;1270;1537519847;1537520260;1537520281;12.751;413;21
paper_run_2270000;PAPERRUNxsa227.depth0-unwind0-dp0-fs0-fp1.trace;227;0;0;0;0;1;Essential container in task exited;1,53744E+12;1,53744E+12;0;found trace;511.133.779;521.628.227;1235;1537519877;1537520321;1537520339;10.494;444;18
paper_run_2270000;PAPERRUNxsa227.depth0-unwind0-dp0-fs0-fp1.trace;227;0;0;0;0;1;Essential container in task exited;1,53746E+12;1,53746E+12;0;found trace;511.133.779;521.628.227;1235;1537519877;1537520321;1537520339;10.494;444;18
paper_run_2270000;PAPERRUNxsa227.depth0-unwind0-dp0-fs0-fp1.trace;227;0;0;0;0;1;Essential container in task exited;1,53752E+12;1,53752E+12;0;found trace;511.133.779;521.628.227;1235;1537519877;1537520321;1537520339;10.494;444;18
paper_run_2271000;PAPERRUNxsa227.depth1-unwind0-dp0-fs0-fp1.trace;227;1;0;0;0;1;Essential container in task exited;1,53744E+12;1,53744E+12;0;SAT out of memory;437.214.286;3.859.348.410;2260;1537519871;1537520244;1537523722;3.422.134;373;
paper_run_2271000;PAPERRUNxsa227.depth1-unwind0-dp0-fs0-fp1.trace;227;1;0;0;0;1;Essential container in task exited;1,53746E+12;1,53746E+12;0;SAT out of memory;437.214.286;3.859.348.410;2260;1537519871;1537520244;1537523722;3.422.134;373;3478
paper_run_2271000;PAPERRUNxsa227.depth1-unwind0-dp0-fs0-fp1.trace;227;1;0;0;0;1;Essential container in task exited;1,53752E+12;1,53752E+12;0;SAT out of memory;437.214.286;3.859.348.410;2260;1537519871;1537520244;1537523722;3.422.134;373;3478
paper_run_2270010;PAPERRUNxsa227.depth0-unwind0-dp1-fs0-fp1.trace;227;0;0;1;0;1;Essential container in task exited;1,53744E+12;1,53744E+12;0;found trace;467.605.583;478.737.265;1235;1537519884;1537520277;1537520296;11.132;393;19
paper_run_2270010;PAPERRUNxsa227.depth0-unwind0-dp1-fs0-fp1.trace;227;0;0;1;0;1;Essential container in task exited;1,53746E+12;1,53746E+12;0;found trace;467.605.583;478.737.265;1235;1537519884;1537520277;1537520296;11.132;393;19
paper_run_2270010;PAPERRUNxsa227.depth0-unwind0-dp1-fs0-fp1.trace;227;0;0;1;0;1;Essential container in task exited;1,53752E+12;1,53752E+12;0;found trace;467.605.583;478.737.265;1235;1537519884;1537520277;1537520296;11.132;393;19
paper_run_2380000;PAPERRUNxsa238.depth0-unwind0-dp0-fs0-fp1.trace;238;0;0;0;0;1;Essential container in task exited;1,53744E+12;1,53744E+12;0;found trace;497.520.256;509.865.891;1291;1537519894;1537520295;1537520316;12.346;401;21
paper_run_2380000;PAPERRUNxsa238.depth0-unwind0-dp0-fs0-fp1.trace;238;0;0;0;0;1;Essential container in task exited;1,53746E+12;1,53746E+12;0;found trace;497.520.256;509.865.891;1291;1537519894;1537520295;1537520316;12.346;401;21
paper_run_2380000;PAPERRUNxsa238.depth0-unwind0-dp0-fs0-fp1.trace;238;0;0;0;0;1;Essential container in task exited;1,53752E+12;1,53752E+12;0;found trace;497.520.256;509.865.891;1291;1537519894;1537520295;1537520316;12.346;401;21
paper_run_2380010;PAPERRUNxsa238.depth0-unwind0-dp1-fs0-fp1.trace;238;0;0;1;0;1;Essential container in task exited;1,53744E+12;1,53744E+12;0;found trace;524.146.128;535.981.472;1291;1537519890;1537520322;1537520342;11.835;432;20
paper_run_2380010;PAPERRUNxsa238.depth0-unwind0-dp1-fs0-fp1.trace;238;0;0;1;0;1;Essential container in task exited;1,53746E+12;1,53746E+12;0;found trace;524.146.128;535.981.472;1291;1537519890;1537520322;1537520342;11.835;432;20
paper_run_2380010;PAPERRUNxsa238.depth0-unwind0-dp1-fs0-fp1.trace;238;0;0;1;0;1;Essential container in task exited;1,53752E+12;1,53752E+12;0;found trace;524.146.128;535.981.472;1291;1537519890;1537520322;1537520342;11.835;432;20
